Time (s)	System Output	ControllerOutput
1.849999	0.813611	0.850314
1.859999	0.812434	0.852689
1.869999	0.811298	0.855006
1.879999	0.810201	0.857252
1.889999	0.809146	0.859438
1.899999	0.808131	0.861560
1.909999	0.807158	0.863616
1.919999	0.806228	0.865609
1.929999	0.805339	0.867539
1.939999	0.804494	0.869408
1.949998	0.803691	0.871213
1.959998	0.802931	0.872955
1.969998	0.802214	0.874636
1.979998	0.801541	0.876257
1.989998	0.800911	0.877814
1.999998	0.800325	0.879316
2.009999	0.799781	0.880754
2.019999	0.799281	0.882136
2.029999	0.798824	0.883461
2.039999	0.798411	0.884724
2.049999	0.798040	0.885935
2.059999	0.797711	0.887089
2.069999	0.797425	0.888188
2.079998	0.797181	0.889233
2.089998	0.796978	0.890223
2.099998	0.796817	0.891162
2.109998	0.796697	0.892051
2.119998	0.796618	0.892888
2.129998	0.796578	0.893676
2.139998	0.796578	0.894415
2.149998	0.796618	0.895108
2.159998	0.796696	0.895753
2.169998	0.796812	0.896353
2.179998	0.796965	0.896909
2.189998	0.797155	0.897422
2.199998	0.797382	0.897892
2.209998	0.797644	0.898322
2.219998	0.797942	0.898710
2.229998	0.798274	0.899062
2.239998	0.798639	0.899371
2.249998	0.799037	0.899649
2.259998	0.799468	0.899888
2.269998	0.799930	0.900093
2.279998	0.800423	0.900265
2.289998	0.800946	0.900406
2.299998	0.801499	0.900513
2.309998	0.802080	0.900590
2.319998	0.802689	0.900640
2.329998	0.803324	0.900661
2.339998	0.803986	0.900655
2.349998	0.804674	0.900625
2.359998	0.805386	0.900569
2.369998	0.806122	0.900490
2.379998	0.806881	0.900387
2.389998	0.807662	0.900264
2.399998	0.808464	0.900121
2.409998	0.809288	0.899957
2.419998	0.810131	0.899777
2.429998	0.810993	0.899578
2.439998	0.811873	0.899365
2.449998	0.812770	0.899134
2.459998	0.813685	0.898892
2.469998	0.814615	0.898634
2.479998	0.815560	0.898365
2.489998	0.816519	0.898084
2.499998	0.817491	0.897795
2.509998	0.818477	0.897492
2.519998	0.819474	0.897186
2.529998	0.820482	0.896868
2.539998	0.821501	0.896544
2.549998	0.822529	0.896216
2.559998	0.823567	0.895879
2.569998	0.824612	0.895543
2.579998	0.825665	0.895199
2.589998	0.826725	0.894853
2.599998	0.827790	0.894508
2.609998	0.828862	0.894159
2.619998	0.829937	0.893810
2.629998	0.831017	0.893461
2.639998	0.832100	0.893115
2.649998	0.833186	0.892767
2.659998	0.834274	0.892422
2.669998	0.835364	0.892081
2.679998	0.836454	0.891743
2.689998	0.837545	0.891409
2.699998	0.838636	0.891078
2.709998	0.839725	0.890755
2.719998	0.840814	0.890437
2.729998	0.841900	0.890123
2.739998	0.842984	0.889818
2.749998	0.844065	0.889517
2.759998	0.845142	0.889227
2.769998	0.846216	0.888941
2.779998	0.847285	0.888668
2.789998	0.848350	0.888400
2.799998	0.849409	0.888142
2.809998	0.850462	0.887895
2.819998	0.851510	0.887656
2.829998	0.852551	0.887428
2.839998	0.853585	0.887209
2.849998	0.854612	0.887002
2.859998	0.855631	0.886808
2.869998	0.856642	0.886620
2.879998	0.857645	0.886449
2.889998	0.858640	0.886284
2.899998	0.859625	0.886135
2.909998	0.860602	0.885996
2.919998	0.861569	0.885870
2.929998	0.862527	0.885757
2.939998	0.863474	0.885653
2.949998	0.864412	0.885565
2.959998	0.865339	0.885488
2.969998	0.866256	0.885424
2.979998	0.867162	0.885373
2.989998	0.868058	0.885335
2.999998	0.868942	0.885308
3.009998	0.869815	0.885296
3.019998	0.870677	0.885294
3.029998	0.871528	0.885307
3.039998	0.872367	0.885333
3.049998	0.873194	0.885372
3.059998	0.874010	0.885423
3.069998	0.874814	0.885486
3.079998	0.875606	0.885562
3.089998	0.876386	0.885651
3.099998	0.877155	0.885753
3.109998	0.877911	0.885866
3.119998	0.878656	0.885991
3.129997	0.879389	0.886130
3.139997	0.880109	0.886278
3.149997	0.880818	0.886443
3.159997	0.881515	0.886615
3.169997	0.882200	0.886800
3.179997	0.882873	0.886997
3.189997	0.883534	0.887206
3.199997	0.884183	0.887424
3.209997	0.884821	0.887654
3.219997	0.885447	0.887894
3.229997	0.886062	0.888146
3.239997	0.886665	0.888407
3.249997	0.887257	0.888680
3.259997	0.887837	0.888960
3.269997	0.888407	0.889251
3.279997	0.888965	0.889551
3.289997	0.889512	0.889863
3.299997	0.890049	0.890180
3.309997	0.890575	0.890509
3.319997	0.891090	0.890845
3.329997	0.891595	0.891191
3.339997	0.892090	0.891543
3.349997	0.892574	0.891903
3.359997	0.893049	0.892271
3.369997	0.893514	0.892648
3.379997	0.893969	0.893031
3.389997	0.894414	0.893421
3.399997	0.894851	0.893817
3.409997	0.895278	0.894219
3.419997	0.895696	0.894630
3.429997	0.896106	0.895043
3.439997	0.896507	0.895465
3.449997	0.896899	0.895889
3.459997	0.897283	0.896323
3.469997	0.897659	0.896757
3.479997	0.898027	0.897198
3.489997	0.898388	0.897642
3.499997	0.898741	0.898092
3.509997	0.899087	0.898546
3.519997	0.899425	0.899003
3.529997	0.899757	0.899462
3.539997	0.900082	0.899928
3.549997	0.900400	0.900393
3.559997	0.900712	0.900862
3.569997	0.901018	0.901335
3.579997	0.901318	0.901809
3.589997	0.901612	0.902285
3.599997	0.901900	0.902763
3.609997	0.902183	0.903243
3.619997	0.902461	0.903724
3.629997	0.902733	0.904205
3.639997	0.903001	0.904690
